Name,Container_Code,Container_Code_AI,Container_Match,Container_Accuracy,Failed_Reason,Time
img057,FSCU4462602,FSCU4462602,1,100.0,[WARN] TOO CLOSE,0.29
img058,FSCU4462602,FSCU4462602,1,100.0,,0.234
img059,CSNU7911523,CSNU7911523,1,100.0,,0.286
img060,CSNU7911523,CSNU7911523,1,100.0,,0.247
img061,BMOU6004140,BMOU6004140,1,100.0,,0.302
img062,BMOU6004140,BMOU6004140,1,100.0,,0.263
img063,SKLU1566062,SKLU1566062,1,100.0,[WARN] TOO CLOSE,0.42
img064,CCLU5169675,CCLU5169675,1,100.0,,0.277
img065,CCLU5169675,CCLU5169675,1,100.0,,0.283
img066,TCLU5529530,TCLU5529530,1,100.0,[WARN] TOO CLOSE,0.281
img067,TCLU5529530,TCLU5529530,1,100.0,,0.236
img068,ONEU5529375,ONEU5529375,1,100.0,[WARN] TOO CLOSE,0.293
img069,ONEU5529375,ONEU5529375,1,100.0,,0.387
img070,TRHU8971608,TRHU8971608,1,100.0,,0.287
img071,TRHU8971608,TRHU8971608,1,100.0,,0.381
img072,CBHU9510542,CBHU9510542,1,100.0,[WARN] TOO CLOSE,0.295
img073,CBHU9510542,CBHU9510542,1,100.0,,0.274
img074,TLLU8664846,TLLU8664846,1,100.0,,0.299
img075,TLLU8664846,TLLU8664846,1,100.0,,0.259
img076,VOLU4541456,VOLU4541456,1,100.0,,0.259
img077,VOLU4541456,VOLU4541456,1,100.0,,0.251
img078,TCLU9707163,TCLU9707163,1,100.0,,0.278
img079,TCLU9707163,TCLU9707163,1,100.0,,0.271
img080,MRKU0275568,MRKU0275568,1,100.0,,0.303
img081,None,None,-1,-1.0,,0.022
img082,None,None,-1,-1.0,,0.02
img083,None,None,-1,-1.0,,0.021
img084,None,None,-1,-1.0,,0.022
img085,None,None,-1,-1.0,,0.02
img086,None,None,-1,-1.0,,0.204
img087,None,None,-1,-1.0,,0.164
img088,None,None,-1,-1.0,,0.188
img089,None,None,-1,-1.0,,0.021
img090,None,None,-1,-1.0,,0.017
img091,None,None,-1,-1.0,,0.022
img092,None,None,-1,-1.0,,0.02
img093,None,None,-1,-1.0,,0.021
img094,None,None,-1,-1.0,,0.02
img095,None,UACUNHETCA,0,0.0,,0.417
img096,None,None,-1,-1.0,,0.02
img097,None,None,-1,-1.0,,0.021
img098,None,None,-1,-1.0,,0.019
img099,None,None,-1,-1.0,,0.019
img100,None,None,-1,-1.0,,0.02
