Name,Face_Name,Face_Name_AI,Face_Match,Face_Confidence,Time
img047,Natalie Portman,Natalie Portman,1,83.15,0.083
img048,Natalie Portman,Unknown,0,46.29,0.134
img049,Natalie Portman,Unknown,0,39.64,0.097
img050,Natalie Portman,Natalie Portman,1,71.89,0.091
img051,Kate Winslet,Kate Winslet,1,79.44,0.067
img052,Kate Winslet,Kate Winslet,1,69.56,0.088
img053,Kate Winslet,Kate Winslet,1,96.03,0.081
img054,Kate Winslet,Unknown,0,57.5,0.084
img055,Kate Winslet,Unknown,0,56.44,0.073
img056,Sandra Bullock,Sandra Bullock,1,90.57,0.085
img057,Sandra Bullock,Unknown,0,40.16,0.108
img058,Sandra Bullock,Sandra Bullock,1,73.17,0.097
img059,Sandra Bullock,Sandra Bullock,1,85.15,0.072
img060,Sandra Bullock,Sandra Bullock,1,82.02,0.079
img061,Scarlett Johansson,Scarlett Johansson,1,62.72,0.081
img062,Scarlett Johansson,Scarlett Johansson,1,61.92,0.082
img063,Scarlett Johansson,Unknown,0,53.35,0.072
img064,Scarlett Johansson,Scarlett Johansson,1,60.24,0.074
img065,Scarlett Johansson,Unknown,0,54.33,0.074
img066,Megan Fox,Megan Fox,1,93.92,0.079
img067,Megan Fox,Megan Fox,1,73.55,0.076
img068,Megan Fox,Megan Fox,1,73.68,0.084
img069,Megan Fox,Megan Fox,1,72.7,0.078
img070,Megan Fox,Megan Fox,1,84.45,0.082
img071,Nicole Kidman,Nicole Kidman,1,85.96,0.077
img072,Nicole Kidman,Unknown,0,50.23,0.089
img073,Nicole Kidman,Nicole Kidman,1,76.69,0.076
img074,Nicole Kidman,Nicole Kidman,1,60.96,0.074
img075,Nicole Kidman,Nicole Kidman,1,71.76,0.073
img076,Jennifer Lawrence,Unknown,0,49.79,0.071
img077,Jennifer Lawrence,Jennifer Lawrence,1,71.54,0.08
img078,Jennifer Lawrence,Jennifer Lawrence,1,79.63,0.073
img079,Jennifer Lawrence,Jennifer Lawrence,1,79.24,0.078
img080,Jennifer Lawrence,Unknown,0,45.9,0.117
img081,Unknow,Unknown,0,53.84,0.078
img082,Unknow,Unknown,0,38.46,0.066
img083,Unknow,Unknown,0,55.19,0.077
img084,Unknow,Unknown,0,46.32,0.08
img085,Unknow,Unknown,0,46.56,0.089
img086,Unknow,Unknown,0,39.84,0.151
img087,Unknow,None,0,0.0,0.034
img088,Unknow,Unknown,0,51.14,0.108
img089,None,None,-1,0.0,0.057
img090,Unknow,Unknown,0,46.38,0.115
img091,Unknow,Unknown,0,35.99,0.072
img092,Unknow,Unknown,0,40.84,0.08
img093,None,None,-1,0.0,0.014
img094,None,None,-1,0.0,0.061
img095,None,None,-1,0.0,0.034
img096,None,None,-1,0.0,0.072
img097,None,None,-1,0.0,0.044
img098,None,None,-1,0.0,0.046
img099,None,None,-1,0.0,0.048
img100,Unknow,Jennifer Lawrence,0,69.63,0.162
